siteid,lon,lat,AQI
2700A,75.9435,39.4365,243
2698A,75.9828,39.5371,337
2697A,76.1861,39.7153,111
2702A,79.9117,37.1013,186
2701A,79.9485,37.1152,498
2631A,80.0895,32.5039,19
2630A,80.1161,32.5,21
2695A,80.2828,41.1636,135
2696A,80.2956,41.1933,180
2703A,81.2815,43.9404,73
2704A,81.2867,43.895,78
2705A,81.3364,43.941,93
2693A,82.0485,44.9079,42
2694A,82.0806,44.8969,69
2706A,82.9994,46.7432,41
1951A,84.8861,45.6033,35
1952A,84.8897,45.5828,30
1954A,84.8983,44.3336,42
1953A,85.1186,45.6886,45
1955A,85.6931,46.0872,22
2709A,86.0497,44.2967,320
1956A,86.1461,41.7511,113
1957A,86.2022,41.7192,85
1958A,86.2381,41.7128,100
2692A,87.2717,44.0297,156
2691A,87.2997,44.0114,206
3033A,87.4651,43.4569,25
1492A,87.4754,43.9469,228
2711A,87.5475,44.1756,272
1493A,87.5525,43.8711,98
1490A,87.5801,43.8303,92
1491A,87.6046,43.768,88
1494A,87.6432,43.831,74
2690A,87.9897,44.1564,30
2708A,88.1267,47.8515,26
2626A,88.8876,29.2718,27
2627A,88.8931,29.2365,34
2687A,89.1673,42.9559,95
2686A,89.191,42.9409,90
1460A,90.9798,29.6588,67
1461A,91.0834,29.6292,34
1458A,91.0874,29.6475,52
1457A,91.1221,29.6747,57
1456A,91.1319,29.6514,39
1459A,91.1774,29.6541,48
2624A,91.7608,29.2313,32
2625A,91.7706,29.261,32
2628A,92.0657,31.4846,78
2689A,93.4961,42.8328,88
2688A,93.5128,42.8172,46
2633A,94.3616,29.6632,23
2632A,94.3681,29.6376,28
2675A,97,33.0014,113
2623A,97.1809,31.1254,24
2676A,97.3731,37.3753,70
2884A,98.26722222,39.79777778,65
1945A,98.2908,39.7711,57
2659A,98.5023,39.7294,72
2658A,98.509,39.746,71
2617A,98.578,24.441,87
2616A,98.5842,24.428,52
2619A,98.8546,25.8417,55
2618A,98.8601,25.8567,44
2594A,99.1678,25.1081,110
2595A,99.1711,25.1328,54
2620A,99.7064,27.8136,29
2604A,100.0782,23.8982,36
2603A,100.0869,23.8822,46
2614A,100.1542,25.7054,40
2598A,100.2143,26.8576,75
2615A,100.2171,25.5811,65
2600A,100.2203,26.8906,77
2599A,100.2497,26.8802,55
2674A,100.2561,34.4714,71
2655A,100.4497,38.9389,62
2654A,100.4686,38.9467,58
2673A,100.6188,36.2866,26
2612A,100.7939,22.0019,47
2671A,100.9048,36.9639,39
2601A,100.98,22.7633,35
2602A,100.9817,22.8322,33
1483A,101.524,36.6867,102
2606A,101.538,25.0492,30
2605A,101.5482,25.0441,36
1889A,101.5769,26.5928,58
1888A,101.68912,26.57098,54
1890A,101.7169,26.585,43
2835A,101.7227,26.567,42
1891A,101.7453,26.5017,49
1480A,101.748,36.6428,204
3055A,101.7775,36.6428,138
1482A,101.834,36.5819,160
3065A,101.9533,29.9972,45
2570A,101.9603,30.0475,41
2672A,102.0199,35.5102,46
3129A,102.0306,36.5067,88
1944A,102.1708,38.5061,491
1943A,102.1725,38.5339,270
2566A,102.1755,31.9286,29
1942A,102.1878,38.5247,189
2567A,102.2218,31.9025,36
2575A,102.2311,27.8953,35
2573A,102.2625,27.8978,37
2574A,102.2689,27.8847,43
2572A,102.2714,27.8408,36
2571A,102.3419,27.8094,31
2882A,102.5389,24.3702,57
1715A,102.5778,24.3694,25
2652A,102.6219,37.9311,496
1451A,102.625,24.9624,45
1455A,102.638,25.0359,35
2653A,102.6469,37.9358,500
1453A,102.722,25.0405,54
1452A,102.728,25.0836,46
1449A,102.743,25.0124,43
1450A,102.821,24.8885,38
2669A,102.905,35.0003,52
2556A,103.0001,29.9816,52
2554A,103.0013,29.9899,60
2553A,103.009,30.0125,58
2555A,103.0109,29.9834,48
2668A,103.2064,35.5997,25
2667A,103.2139,35.6039,35
3038A,103.3758,23.3682,31
2608A,103.3772,23.3993,28
2609A,103.386,23.4168,33
1438A,103.613,31.0283,58
2596A,103.7032,27.3392,46
2597A,103.7225,27.3361,40
2537A,103.7506,29.6007,39
2538A,103.757,29.5634,33
2536A,103.7627,29.5844,33
2535A,103.7705,29.5467,36
1916A,103.7897,25.5035,58
1917A,103.8,25.5364,54
1479A,103.831,36.0464,147
1478A,103.841,36.0725,168
2540A,103.8416,30.0874,52
3138A,103.8578,30.0744,107
2539A,103.8986,30.0506,40
1431A,103.97275,30.72358333,51
2880A,104.0238889,30.65638889,51
1437A,104.054,30.6578,51
1433A,104.079,30.5706,39
1434A,104.1113889,30.63,62
1477A,104.148,35.94,67
2647A,104.1731,36.5458,77
2648A,104.1731,36.5481,68
1432A,104.176,30.6872,48
2611A,104.2319,23.3892,65
2610A,104.2533,23.3594,24
3136A,104.2725,30.5589,35
1904A,104.3539,31.1108,90
1902A,104.3883,31.1333,79
1903A,104.4053,31.1167,72
1901A,104.4219,31.1208,66
1886A,104.5761,28.71583,60
1882A,104.5969,28.8194,75
1884A,104.6061,28.7867,54
2664A,104.6169,35.5975,57
1883A,104.6225,28.76611,58
2663A,104.6228,35.5714,53
2563A,104.6289,30.1377,81
2565A,104.6294,30.1259,83
2562A,104.6356,30.1506,73
1885A,104.6417,28.76389,49
2564A,104.6469,30.1142,79
2561A,104.6617,30.1366,70
1880A,104.6717,31.4656,87
1887A,104.6789,28.7989,59
3027A,104.7228,29.33972,92
1881A,104.7283,31.5072,173
1879A,104.7536,31.4539,180
1897A,104.7547,29.3628,104
1900A,104.7692,29.3411,85
1878A,104.7778,31.4747,165
3028A,104.7778,29.36028,72
2576A,104.8,26.5892,44
2577A,104.83,26.5917,38
2579A,104.8475,26.5894,56
2590A,104.8811,25.0992,18
2578A,104.89,26.5939,61
2589A,104.9022,25.0925,17
2885A,104.9338889,33.38256667,28
2680A,105.0197,37.4514,124
2531A,105.0331,29.5953,51
2534A,105.0406,29.5822,42
2533A,105.0653,29.5817,55
2532A,105.0717,29.5947,34
2665A,105.0822,33.3261,34
2681A,105.18,37.0172,80
2682A,105.1971,37.5002,97
2587A,105.2864,27.3125,48
2588A,105.31,27.2944,46
1893A,105.4306,28.9583,65
1896A,105.4322,28.8833,57
1895A,105.4322,28.8558,49
1894A,105.4436,28.9026,65
2530A,105.5956,30.475,63
2204A,105.6775,38.8343,60
2528A,105.68,30.6133,74
2205A,105.6975,38.843,76
2206A,105.724,38.8516,73
2650A,105.7281,34.5814,65
2527A,105.7519,30.5797,77
2525A,105.8153,32.4246,80
2529A,105.8161,30.6347,75
2524A,105.8242,32.4429,76
2651A,105.8614,34.5653,71
2526A,105.8624,32.4285,57
2523A,105.8945,32.4535,57
3125A,105.8983,26.2481,39
3123A,105.9408,26.2431,50
3124A,105.9439,26.2564,50
1484A,105.9512,38.6016,67
3122A,105.9606,26.2611,49
2649A,106.005,34.3469,31
1905A,106.056,30.8064,109
1909A,106.0642,30.7636,107
1906A,106.0789,30.8023,104
2926A,106.1024,38.49494,88
1907A,106.1031,30.8217,102
1908A,106.1064,30.7856,110
1910A,106.1087,30.8388,87
1489A,106.1358,38.5036,102
2677A,106.1532,37.9648,60
2679A,106.196,37.9723,116
2678A,106.2025,37.9844,112
2924A,106.2275,38.44139,78
1488A,106.2328,38.4975,93
2685A,106.2375,36.0211,57
2925A,106.2739,38.4841,105
2684A,106.2792,36.0022,42
1418A,106.296,29.5983,64
1947A,106.3394,38.817,94
1422A,106.364,29.4822,74
1948A,106.3717,39.0153,111
1414A,106.379,29.8272,68
3015A,106.4042,29.57278,70
1416A,106.424,29.8264,83
1428A,106.452,29.709,78
1426A,106.468,29.4892,72
3014A,106.4959,29.53675,82
1429A,106.513,29.389,85
1419A,106.54,29.5186,87
3133A,106.5469,29.565,74
1427A,106.562,29.6453,94
2512A,106.6103,23.9011,90
1425A,106.617,29.7125,52
1441A,106.6243,26.6266,53
1417A,106.626,29.7228,98
2545A,106.6271,30.4663,107
2544A,106.6303,30.4576,123
2543A,106.631,30.518,94
1421A,106.634,29.4892,92
2902A,106.6351,30.4865,104
2547A,106.6388,30.4551,77
1420A,106.65,29.6219,74
2513A,106.6527,23.8844,84
1443A,106.6554,26.4364,70
2656A,106.6692,35.5461,73
1439A,106.6856,26.6029,54
1447A,106.6867,26.5495,53
1444A,106.6948,26.5155,49
1440A,106.6971,26.5689,48
2657A,106.7039,35.5294,75
1950A,106.7096,39.1292,97
1445A,106.7105,26.6009,54
1446A,106.7164,26.5697,51
2558A,106.7389,31.8711,67
1442A,106.7487,26.6343,62
2559A,106.7594,31.8531,59
2915A,106.7619444,31.85805556,43
1949A,106.7704,39.2282,93
2188A,106.7931,39.6572,92
1552A,106.805,26.3003,62
2187A,106.8089,39.6969,137
2186A,106.8219,39.6719,160
1913A,106.8906,27.6486,45
1915A,106.9178,27.72,39
1911A,106.9222,27.6869,49
1912A,106.9242,27.7019,23
2634A,106.9893,33.1842,239
2637A,107.007,33.0323,404
2636A,107.0089,33.1138,301
2635A,107.0154,33.0706,372
1931A,107.0708,34.3017,92
1934A,107.1186,34.3739,100
1933A,107.1431,34.3547,103
1930A,107.1586,34.3708,89
1932A,107.1906,34.3672,95
1936A,107.2058,34.3497,93
1937A,107.2386,34.3622,101
2521A,107.3476,22.4137,56
2522A,107.3701,22.3708,67
2196A,107.3715,40.7378,104
1935A,107.3906,34.3528,99
2195A,107.4211,40.7608,55
2552A,107.4611,31.2058,206
2550A,107.4967,31.2108,190
2551A,107.5069,31.1956,192
2593A,107.5228,26.2403,43
2549A,107.525,31.215,189
2548A,107.5272,31.2797,313
2194A,107.5936,40.916,93
2662A,107.6364,35.7067,70
2661A,107.6406,35.5236,81
2660A,107.6831,35.7289,76
2881A,107.8908333,26.53111111,48
2591A,107.9783,26.5747,53
2517A,108.054,24.6928,72
2518A,108.1009,24.6967,98
2516A,108.2134,24.7121,54
1406A,108.239,22.8464,74
1408A,108.244,22.7833,75
1401A,108.301,22.7875,88
1402A,108.316,22.8561,72
1403A,108.321,22.8225,74
1407A,108.328,22.735,69
2499A,108.3411,21.6158,83
2501A,108.3506,21.6414,84
2500A,108.3511,21.7631,71
1404A,108.383,22.805,75
1405A,108.439,22.7906,74
2504A,108.5989,21.7431,59
2502A,108.6236,21.9667,63
2503A,108.6553,21.9508,59
1919A,108.6761,34.3181,312
1918A,108.7197,34.3956,337
1920A,108.7233,34.3617,327
1921A,108.7369,34.3164,338
1472A,108.869,34.378,325
1462A,108.882,34.2749,260
1467A,108.883,34.2303,257
